scenario,source_dataset,target_dataset,accuracy,macro_f1,weighted_f1,minority_class_f1
A,nsl_kdd,nsl_kdd,0.950000,0.950232,0.950171,0.959732
B,nsl_kdd,unsw_nb15,0.902500,0.902726,0.902465,0.911565
C,nsl_kdd,unsw_nb15,0.895000,0.895174,0.895035,0.912752
A,nsl_kdd,nsl_kdd,0.942500,0.942327,0.942769,0.920530
A,unsw_nb15,unsw_nb15,0.916250,0.916945,0.916439,0.945946
A,cic_ids2017,cic_ids2017,0.871667,0.872718,0.872268,0.873239
B,nsl_kdd,unsw_nb15,0.906250,0.906655,0.906189,0.924138
B,unsw_nb15,nsl_kdd,0.955000,0.955037,0.955175,0.956229
B,nsl_kdd,cic_ids2017,0.894167,0.896306,0.894372,0.907801
B,unsw_nb15,cic_ids2017,0.895833,0.897223,0.896033,0.920863
C,nsl_kdd,unsw_nb15,0.906250,0.905785,0.905974,0.933333
C,unsw_nb15,nsl_kdd,0.937500,0.936441,0.937500,0.897690
C,nsl_kdd,cic_ids2017,0.903333,0.904702,0.903434,0.921986
C,unsw_nb15,cic_ids2017,0.896667,0.898487,0.896776,0.896552
A,nsl_kdd,nsl_kdd,0.938750,0.938849,0.938872,0.940789
A,unsw_nb15,unsw_nb15,0.856250,0.854889,0.856561,0.788321
A,nsl_kdd,nsl_kdd,0.942500,0.942385,0.942766,0.923588
A,cic_ids2017,cic_ids2017,0.868333,0.868691,0.869006,0.869565
B,nsl_kdd,unsw_nb15,0.865000,0.864161,0.865361,0.855172
B,unsw_nb15,nsl_kdd,0.953750,0.953879,0.953910,0.952703
B,nsl_kdd,cic_ids2017,0.903333,0.905044,0.903456,0.914286
B,unsw_nb15,cic_ids2017,0.890833,0.892814,0.891438,0.897059
C,nsl_kdd,unsw_nb15,0.862500,0.862265,0.862903,0.851064
C,unsw_nb15,nsl_kdd,0.940000,0.938748,0.940099,0.882943
C,nsl_kdd,cic_ids2017,0.904167,0.905977,0.904386,0.934307
C,unsw_nb15,cic_ids2017,0.896667,0.898154,0.896795,0.913043
A,cic_ids2017,cic_ids2017,0.627500,0.628715,0.627389,0.558824
A,nsl_kdd,nsl_kdd,0.987778,0.653924,0.986828,0.000000
A,unsw_nb15,unsw_nb15,0.977900,0.502403,0.976727,0.000000
A,cic_ids2017,cic_ids2017,0.997733,0.871343,0.997723,0.275862
B,nsl_kdd,unsw_nb15,0.977775,0.513341,0.976737,0.000000
B,unsw_nb15,nsl_kdd,0.987407,0.618525,0.986532,0.000000
B,nsl_kdd,cic_ids2017,0.997667,0.867037,0.997608,0.333333
B,unsw_nb15,cic_ids2017,0.997650,0.877107,0.997633,0.275862
C,nsl_kdd,unsw_nb15,0.978275,0.510712,0.977249,0.000000
C,unsw_nb15,nsl_kdd,0.987811,0.647778,0.986996,0.000000
C,nsl_kdd,cic_ids2017,0.997533,0.873087,0.997533,0.418605
C,unsw_nb15,cic_ids2017,0.997600,0.867759,0.997554,0.275862
A,nsl_kdd,nsl_kdd,0.989893,0.776027,0.989102,0.000000
A,nsl_kdd,nsl_kdd,0.989993,0.789542,0.989322,0.000000
B,nsl_kdd,unsw_nb15,0.978100,0.559655,0.977036,0.600000
A,nsl_kdd,nsl_kdd,0.989293,0.772258,0.988524,0.000000
B,nsl_kdd,unsw_nb15,0.978400,0.522165,0.977229,0.444444
C,nsl_kdd,unsw_nb15,0.978500,0.520824,0.977126,0.444444
A,unsw_nb15,unsw_nb15,0.978000,0.522714,0.977073,0.444444
A,cic_ids2017,cic_ids2017,0.996500,0.813172,0.996280,0.000000
B,nsl_kdd,cic_ids2017,0.996600,0.814377,0.996385,0.000000
B,unsw_nb15,nsl_kdd,0.989293,0.770087,0.988603,0.666667
B,unsw_nb15,cic_ids2017,0.996400,0.826969,0.996213,0.333333
C,nsl_kdd,cic_ids2017,0.996600,0.818203,0.996397,0.000000
C,unsw_nb15,nsl_kdd,0.989293,0.789677,0.988614,0.666667
C,unsw_nb15,cic_ids2017,0.996500,0.831324,0.996315,0.333333
